Username,newtest,Height,5ft3in,Inches,63
Date,Weight(lbs),BMI,Center of Balance,Single Leg Balance,Dynamic Balance,Stop&Go,Maze
2011-12-03 17:33,0,0,0,0,0,0,0
2011-12-03 18:02,0,0,0,0,0,0,0
2011-12-03 18:31,0,0,0,379.913890605,0,0,0
2011-12-03 19:16,0,0,0,-1219.32173711,0,0,0
2011-12-03 19:21,0,0,0,-2159.38070656,0,0,0
2011-12-03 19:30,0,0,0,-3212.24031814,0,0,0
2011-12-03 19:35,0,0,0,-1355.51419036,0,0,0
2011-12-03 19:38,0,0,0,-5046.57485908,0,0,0
2011-12-03 19:41,0,0,0,None,0,0,0
2011-12-03 19:43,0,0,0,274.234794192,0,0,0
2011-12-03 20:28,0,0,0,0,0,0,0
2011-12-03 20:43,176.039606123,31.1806105076,484.864167902,492.830440874,150,0,0
2011-12-03 22:36,0,0,0,0,0,228.584538913,0
2011-12-04 00:49,0,0,0,0,0,0,0
2011-12-04 01:21,0,0,0,0,0,0,0
2011-12-04 01:32,0,0,0,0,0,0,0
2011-12-04 01:35,0,0,0,0,0,0,0
2011-12-04 01:45,0,0,0,0,0,0,0
2011-12-04 02:01,0,0,0,0,0,0,0
